SalesOrderNumber,Sum of SalesOrderLineNumber,Sum of TaxAmt,Sum of UnitPrice,CurrencyKey,Sum of TotalProductCost,CarrierTrackingNumber,Count of CustomerKey,CustomerPONumber,Sum of DiscountAmount,Năm,Quý,Tháng,Ngày,Count of DueDateKey,Sum of ExtendedAmount,Sum of Freight,Năm,Quý,Tháng,Ngày,Count of OrderDateKey,Sum of OrderQuantity,Count of ProductKey,Sum of ProductStandardCost,Count of PromotionKey,Sum of RevisionNumber,Sum of SalesAmount,Count of SalesTerritoryKey,Năm,Quý,Tháng,Ngày,Count of ShipDateKey,Sum of UnitPriceDiscountPct
SO43697,1,$286.2616,$3578.27,19,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,10,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,29,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,5,1,0
SO43698,1,$271.9992,$3399.99,39,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,10,1,$3399.99,$84.9998,2010,Qtr 4,Tháng Mười Hai,29,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,5,1,0
SO43699,1,$271.9992,$3399.99,100,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,10,1,$3399.99,$84.9998,2010,Qtr 4,Tháng Mười Hai,29,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,5,1,0
SO43700,1,$55.9279,$699.0982,100,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,10,1,$699.0982,$17.4775,2010,Qtr 4,Tháng Mười Hai,29,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,5,1,0
SO43701,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,10,1,$3399.99,$84.9998,2010,Qtr 4,Tháng Mười Hai,29,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,5,1,0
SO43702,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,11,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,30,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,6,1,0
SO43703,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,11,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,30,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,6,1,0
SO43704,1,$269.9992,$3374.99,6,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,11,1,$3374.99,$84.3748,2010,Qtr 4,Tháng Mười Hai,30,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,6,1,0
SO43705,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,11,1,$3399.99,$84.9998,2010,Qtr 4,Tháng Mười Hai,30,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,6,1,0
SO43706,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,12,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,31,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,7,1,0
