AccountCodeAlternateKey,AccountDescription,AccountKey,AccountType,CustomMemberOptions,CustomMembers,Operator,ParentAccountCodeAlternateKey,ParentAccountKey,ValueType
1,Balance Sheet,1,,,,~,,,Currency
4,Net Income,47,Revenue,,,'+,,,Currency
10,Assets,2,Assets,,,'+,1,1,Currency
20,Liabilities and Owners Equity,25,Liabilities,,,'-,1,1,Currency
40,Operating Profit,48,Revenue,,,'+,4,47,Currency
60,Operating Expenses,58,Expenditures,,,'-,40,48,Currency
80,Other Income and Expense,88,Revenue,,,'+,4,47,Currency
110,Current Assets,3,Assets,,,'+,10,2,Currency
210,Liabilities,26,Liabilities,,,'+,20,25,Currency
300,Owners Equity,41,Liabilities,,,'+,20,25,Currency
400,Gross Margin,49,Revenue,,,'+,40,48,Currency
600,Labor Expenses,59,Expenditures,,,'+,60,58,Currency
620,Travel Expenses,64,Expenditures,,,'+,60,58,Currency
630,Marketing,70,Expenditures,,,'+,60,58,Currency
660,Telephone and Utilities,75,Expenditures,,,'+,60,58,Currency
680,Depreciation,79,Expenditures,,,'+,60,58,Currency
1110,Cash,4,Assets,,,'+,110,3,Currency
1120,Receivables,5,Assets,,,'+,110,3,Currency
1130,Trade Receivables,6,Assets,,,'+,1120,5,Currency
1140,Other Receivables,7,Assets,,,'+,1120,5,Currency
1150,Allowance for Bad Debt,8,Assets,,,'+,110,3,Currency
1160,Inventory,9,Assets,,,'+,110,3,Currency
1162,Raw Materials,10,Assets,,,'+,1160,9,Currency
1164,Work in Process,11,Assets,,,'+,1160,9,Currency
1166,Finished Goods,12,Assets,,,'+,1160,9,Currency
1170,Deferred Taxes,13,Assets,,,'+,110,3,Currency
1180,Prepaid Expenses,14,Assets,,,'+,110,3,Currency
1185,Intercompany Receivables,15,Assets,,,'+,110,3,Currency
1200,"Property, Plant, Equipment",17,Assets,,,'+,10,2,Currency
1210,Land & Improvements,18,Assets,,,'+,1200,17,Currency
1220,Buildings & Improvements,19,Assets,,,'+,1200,17,Currency
1230,Machinery & Equipment,20,Assets,,,'+,1200,17,Currency
1240,Office Furniture & Equipment,21,Assets,,,'+,1200,17,Currency
1250,Leasehold Improvements,22,Assets,,,'+,1200,17,Currency
