EnglishDayNameOfWeek,EnglishMonthName,FrenchDayNameOfWeek,FrenchMonthName,SpanishDayNameOfWeek,SpanishMonthName,Sum of CalendarQuarter,Sum of CalendarSemester,Sum of CalendarYear,DateKey,Sum of DayNumberOfMonth,Sum of DayNumberOfWeek,Sum of DayNumberOfYear,Sum of FiscalQuarter,Sum of FiscalYear,Năm,Quý,Tháng,Ngày,Sum of MonthNumberOfYear,Sum of FiscalSemester,Sum of WeekNumberOfYear
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2005,20050401,1,6,91,4,2005,2005,Qtr 2,Tháng Tư,1,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2005,20050408,8,6,98,4,2005,2005,Qtr 2,Tháng Tư,8,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2005,20050415,15,6,105,4,2005,2005,Qtr 2,Tháng Tư,15,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2005,20050422,22,6,112,4,2005,2005,Qtr 2,Tháng Tư,22,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2005,20050429,29,6,119,4,2005,2005,Qtr 2,Tháng Tư,29,4,2,18
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2006,20060407,7,6,97,4,2006,2006,Qtr 2,Tháng Tư,7,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2006,20060414,14,6,104,4,2006,2006,Qtr 2,Tháng Tư,14,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2006,20060421,21,6,111,4,2006,2006,Qtr 2,Tháng Tư,21,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2006,20060428,28,6,118,4,2006,2006,Qtr 2,Tháng Tư,28,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2007,20070406,6,6,96,4,2007,2007,Qtr 2,Tháng Tư,6,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2007,20070413,13,6,103,4,2007,2007,Qtr 2,Tháng Tư,13,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2007,20070420,20,6,110,4,2007,2007,Qtr 2,Tháng Tư,20,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2007,20070427,27,6,117,4,2007,2007,Qtr 2,Tháng Tư,27,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2008,20080404,4,6,95,4,2008,2008,Qtr 2,Tháng Tư,4,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2008,20080411,11,6,102,4,2008,2008,Qtr 2,Tháng Tư,11,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2008,20080418,18,6,109,4,2008,2008,Qtr 2,Tháng Tư,18,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2008,20080425,25,6,116,4,2008,2008,Qtr 2,Tháng Tư,25,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2009,20090403,3,6,93,4,2009,2009,Qtr 2,Tháng Tư,3,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2009,20090410,10,6,100,4,2009,2009,Qtr 2,Tháng Tư,10,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2009,20090417,17,6,107,4,2009,2009,Qtr 2,Tháng Tư,17,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2009,20090424,24,6,114,4,2009,2009,Qtr 2,Tháng Tư,24,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2010,20100402,2,6,92,4,2010,2010,Qtr 2,Tháng Tư,2,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2010,20100409,9,6,99,4,2010,2010,Qtr 2,Tháng Tư,9,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2010,20100416,16,6,106,4,2010,2010,Qtr 2,Tháng Tư,16,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2010,20100423,23,6,113,4,2010,2010,Qtr 2,Tháng Tư,23,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2010,20100430,30,6,120,4,2010,2010,Qtr 2,Tháng Tư,30,4,2,18
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2011,20110401,1,6,91,4,2010,2011,Qtr 2,Tháng Tư,1,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2011,20110408,8,6,98,4,2010,2011,Qtr 2,Tháng Tư,8,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2011,20110415,15,6,105,4,2010,2011,Qtr 2,Tháng Tư,15,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2011,20110422,22,6,112,4,2010,2011,Qtr 2,Tháng Tư,22,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2011,20110429,29,6,119,4,2010,2011,Qtr 2,Tháng Tư,29,4,2,18
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2012,20120406,6,6,97,4,2011,2012,Qtr 2,Tháng Tư,6,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2012,20120413,13,6,104,4,2011,2012,Qtr 2,Tháng Tư,13,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2012,20120420,20,6,111,4,2011,2012,Qtr 2,Tháng Tư,20,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2012,20120427,27,6,118,4,2011,2012,Qtr 2,Tháng Tư,27,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2013,20130405,5,6,95,4,2012,2013,Qtr 2,Tháng Tư,5,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2013,20130412,12,6,102,4,2012,2013,Qtr 2,Tháng Tư,12,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2013,20130419,19,6,109,4,2012,2013,Qtr 2,Tháng Tư,19,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2013,20130426,26,6,116,4,2012,2013,Qtr 2,Tháng Tư,26,4,2,17
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2014,20140404,4,6,94,4,2013,2014,Qtr 2,Tháng Tư,4,4,2,14
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2014,20140411,11,6,101,4,2013,2014,Qtr 2,Tháng Tư,11,4,2,15
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2014,20140418,18,6,108,4,2013,2014,Qtr 2,Tháng Tư,18,4,2,16
Friday,April,Vendredi,Avril,Viernes,Abril,2,1,2014,20140425,25,6,115,4,2013,2014,Qtr 2,Tháng Tư,25,4,2,17
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2005,20050805,5,6,217,1,2006,2005,Qtr 3,Tháng Tám,5,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2005,20050812,12,6,224,1,2006,2005,Qtr 3,Tháng Tám,12,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2005,20050819,19,6,231,1,2006,2005,Qtr 3,Tháng Tám,19,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2005,20050826,26,6,238,1,2006,2005,Qtr 3,Tháng Tám,26,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2006,20060804,4,6,216,1,2007,2006,Qtr 3,Tháng Tám,4,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2006,20060811,11,6,223,1,2007,2006,Qtr 3,Tháng Tám,11,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2006,20060818,18,6,230,1,2007,2006,Qtr 3,Tháng Tám,18,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2006,20060825,25,6,237,1,2007,2006,Qtr 3,Tháng Tám,25,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2007,20070803,3,6,215,1,2008,2007,Qtr 3,Tháng Tám,3,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2007,20070810,10,6,222,1,2008,2007,Qtr 3,Tháng Tám,10,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2007,20070817,17,6,229,1,2008,2007,Qtr 3,Tháng Tám,17,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2007,20070824,24,6,236,1,2008,2007,Qtr 3,Tháng Tám,24,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2007,20070831,31,6,243,1,2008,2007,Qtr 3,Tháng Tám,31,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2008,20080801,1,6,214,1,2009,2008,Qtr 3,Tháng Tám,1,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2008,20080808,8,6,221,1,2009,2008,Qtr 3,Tháng Tám,8,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2008,20080815,15,6,228,1,2009,2008,Qtr 3,Tháng Tám,15,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2008,20080822,22,6,235,1,2009,2008,Qtr 3,Tháng Tám,22,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2008,20080829,29,6,242,1,2009,2008,Qtr 3,Tháng Tám,29,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2009,20090807,7,6,219,1,2010,2009,Qtr 3,Tháng Tám,7,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2009,20090814,14,6,226,1,2010,2009,Qtr 3,Tháng Tám,14,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2009,20090821,21,6,233,1,2010,2009,Qtr 3,Tháng Tám,21,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2009,20090828,28,6,240,1,2010,2009,Qtr 3,Tháng Tám,28,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2010,20100806,6,6,218,1,2011,2010,Qtr 3,Tháng Tám,6,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2010,20100813,13,6,225,1,2011,2010,Qtr 3,Tháng Tám,13,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2010,20100820,20,6,232,1,2011,2010,Qtr 3,Tháng Tám,20,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2010,20100827,27,6,239,1,2011,2010,Qtr 3,Tháng Tám,27,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2011,20110805,5,6,217,1,2011,2011,Qtr 3,Tháng Tám,5,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2011,20110812,12,6,224,1,2011,2011,Qtr 3,Tháng Tám,12,8,1,33
