AccountKey,Sum of Amount,Năm,Quý,Tháng,Ngày,DateKey,Count of DepartmentGroupKey,Count of FinanceKey,Count of OrganizationKey,ScenarioKey
4,76978,2010,Qtr 4,Tháng Mười Hai,29,20101229,1,1,1,1
4,329778,2011,Qtr 1,Tháng Giêng,29,20110129,1,1,1,1
4,209423,2011,Qtr 1,Tháng Ba,1,20110301,1,1,1,1
4,286328,2011,Qtr 1,Tháng Ba,31,20110331,1,1,1,1
4,256527,2011,Qtr 2,Tháng Năm,1,20110501,1,1,1,1
4,234919,2011,Qtr 2,Tháng Năm,31,20110531,1,1,1,1
4,159282,2011,Qtr 3,Tháng Bảy,1,20110701,1,1,1,1
4,420632,2011,Qtr 3,Tháng Tám,1,20110801,1,1,1,1
4,167847,2011,Qtr 3,Tháng Tám,29,20110829,1,1,1,1
4,192629,2011,Qtr 3,Tháng Chín,29,20110929,1,1,1,1
4,266546,2011,Qtr 4,Tháng Mười,29,20111029,1,1,1,1
4,102893,2011,Qtr 4,Tháng Mười Một,29,20111129,1,1,1,1
4,783049,2011,Qtr 4,Tháng Mười Hai,29,20111229,1,1,1,1
4,1006243,2012,Qtr 1,Tháng Giêng,29,20120129,1,1,1,1
4,703914,2012,Qtr 1,Tháng Hai,29,20120229,1,1,1,1
4,573087,2012,Qtr 1,Tháng Ba,30,20120330,1,1,1,1
4,770078,2012,Qtr 2,Tháng Tư,30,20120430,1,1,1,1
4,543967,2012,Qtr 2,Tháng Năm,30,20120530,1,1,1,1
4,455501,2012,Qtr 2,Tháng Sáu,30,20120630,1,1,1,1
4,533554,2012,Qtr 3,Tháng Bảy,31,20120731,1,1,1,1
4,348157,2012,Qtr 3,Tháng Tám,28,20120828,1,1,1,1
4,750186,2012,Qtr 3,Tháng Chín,28,20120928,1,1,1,1
4,606496,2012,Qtr 4,Tháng Mười,28,20121028,1,1,1,1
4,519570,2012,Qtr 4,Tháng Mười Một,28,20121128,1,1,1,1
4,489022,2012,Qtr 4,Tháng Mười Hai,28,20121228,1,1,1,1
4,593571,2013,Qtr 1,Tháng Giêng,28,20130128,1,1,1,1
4,742998,2013,Qtr 1,Tháng Hai,28,20130228,1,1,1,1
4,416186,2013,Qtr 1,Tháng Ba,30,20130330,1,1,1,1
4,328799,2013,Qtr 2,Tháng Tư,30,20130430,1,1,1,1
4,505537,2013,Qtr 2,Tháng Năm,30,20130530,1,1,1,1
4,236929,2013,Qtr 2,Tháng Sáu,30,20130630,1,1,1,1
4,223107,2013,Qtr 3,Tháng Bảy,31,20130731,1,1,1,1
4,485212,2013,Qtr 3,Tháng Tám,29,20130829,1,1,1,1
4,317621,2013,Qtr 3,Tháng Chín,29,20130929,1,1,1,1
4,363917,2013,Qtr 4,Tháng Mười,29,20131029,1,1,1,1
4,584567,2013,Qtr 4,Tháng Mười Một,29,20131129,1,1,1,1
6,361777.52,2010,Qtr 4,Tháng Mười Hai,29,20101229,1,1,1,1
6,169957,2011,Qtr 1,Tháng Giêng,29,20110129,1,1,1,1
6,185123,2011,Qtr 1,Tháng Ba,1,20110301,1,1,1,1
6,303211,2011,Qtr 1,Tháng Ba,31,20110331,1,1,1,1
6,261945,2011,Qtr 2,Tháng Năm,1,20110501,1,1,1,1
6,427953,2011,Qtr 2,Tháng Năm,31,20110531,1,1,1,1
6,298888,2011,Qtr 3,Tháng Bảy,1,20110701,1,1,1,1
6,386576,2011,Qtr 3,Tháng Tám,1,20110801,1,1,1,1
6,391050,2011,Qtr 3,Tháng Tám,29,20110829,1,1,1,1
6,377786,2011,Qtr 3,Tháng Chín,29,20110929,1,1,1,1
6,326173,2011,Qtr 4,Tháng Mười,29,20111029,1,1,1,1
6,357509,2011,Qtr 4,Tháng Mười Một,29,20111129,1,1,1,1
6,765093,2011,Qtr 4,Tháng Mười Hai,29,20111229,1,1,1,1
6,695179,2012,Qtr 1,Tháng Giêng,29,20120129,1,1,1,1
6,873346,2012,Qtr 1,Tháng Hai,29,20120229,1,1,1,1
6,844659,2012,Qtr 1,Tháng Ba,30,20120330,1,1,1,1
6,465672,2012,Qtr 2,Tháng Tư,30,20120430,1,1,1,1
6,695628,2012,Qtr 2,Tháng Năm,30,20120530,1,1,1,1
6,674096,2012,Qtr 2,Tháng Sáu,30,20120630,1,1,1,1
6,336642,2012,Qtr 3,Tháng Bảy,31,20120731,1,1,1,1
6,487892,2012,Qtr 3,Tháng Tám,28,20120828,1,1,1,1
6,542624,2012,Qtr 3,Tháng Chín,28,20120928,1,1,1,1
6,620650,2012,Qtr 4,Tháng Mười,28,20121028,1,1,1,1
6,7077.49,2012,Qtr 4,Tháng Mười Một,28,20121128,1,1,1,1
6,622661,2012,Qtr 4,Tháng Mười Hai,28,20121228,1,1,1,1
6,615815,2013,Qtr 1,Tháng Giêng,28,20130128,1,1,1,1
6,692107,2013,Qtr 1,Tháng Hai,28,20130228,1,1,1,1
6,631568,2013,Qtr 1,Tháng Ba,30,20130330,1,1,1,1
6,560600,2013,Qtr 2,Tháng Tư,30,20130430,1,1,1,1
6,487110,2013,Qtr 2,Tháng Năm,30,20130530,1,1,1,1
6,484392,2013,Qtr 2,Tháng Sáu,30,20130630,1,1,1,1
6,676415,2013,Qtr 3,Tháng Bảy,31,20130731,1,1,1,1
6,668728,2013,Qtr 3,Tháng Tám,29,20130829,1,1,1,1
6,651637,2013,Qtr 3,Tháng Chín,29,20130929,1,1,1,1
6,752672,2013,Qtr 4,Tháng Mười,29,20131029,1,1,1,1
6,831114,2013,Qtr 4,Tháng Mười Một,29,20131129,1,1,1,1
7,10410.37,2010,Qtr 4,Tháng Mười Hai,29,20101229,1,1,1,1
7,5122,2011,Qtr 1,Tháng Giêng,29,20110129,1,1,1,1
7,6467,2011,Qtr 1,Tháng Ba,1,20110301,1,1,1,1
7,9600,2011,Qtr 1,Tháng Ba,31,20110331,1,1,1,1
7,8705,2011,Qtr 2,Tháng Năm,1,20110501,1,1,1,1
7,13105,2011,Qtr 2,Tháng Năm,31,20110531,1,1,1,1
7,8998,2011,Qtr 3,Tháng Bảy,1,20110701,1,1,1,1
7,11268,2011,Qtr 3,Tháng Tám,1,20110801,1,1,1,1
7,7673,2011,Qtr 3,Tháng Tám,29,20110829,1,1,1,1
7,10211,2011,Qtr 3,Tháng Chín,29,20110929,1,1,1,1
7,9949,2011,Qtr 4,Tháng Mười,29,20111029,1,1,1,1
7,12478,2011,Qtr 4,Tháng Mười Một,29,20111129,1,1,1,1
7,14536,2011,Qtr 4,Tháng Mười Hai,29,20111229,1,1,1,1
7,23519,2012,Qtr 1,Tháng Giêng,29,20120129,1,1,1,1
7,24496,2012,Qtr 1,Tháng Hai,29,20120229,1,1,1,1
7,22543,2012,Qtr 1,Tháng Ba,30,20120330,1,1,1,1
7,23525,2012,Qtr 2,Tháng Tư,30,20120430,1,1,1,1
7,20930,2012,Qtr 2,Tháng Năm,30,20120530,1,1,1,1
7,19314,2012,Qtr 2,Tháng Sáu,30,20120630,1,1,1,1
7,16598,2012,Qtr 3,Tháng Bảy,31,20120731,1,1,1,1
7,15903,2012,Qtr 3,Tháng Tám,28,20120828,1,1,1,1
7,18062,2012,Qtr 3,Tháng Chín,28,20120928,1,1,1,1
7,18285,2012,Qtr 4,Tháng Mười,28,20121028,1,1,1,1
7,213.53,2012,Qtr 4,Tháng Mười Một,28,20121128,1,1,1,1
7,18417,2012,Qtr 4,Tháng Mười Hai,28,20121228,1,1,1,1
7,17002,2013,Qtr 1,Tháng Giêng,28,20130128,1,1,1,1
7,21082,2013,Qtr 1,Tháng Hai,28,20130228,1,1,1,1
7,21006,2013,Qtr 1,Tháng Ba,30,20130330,1,1,1,1
7,18280,2013,Qtr 2,Tháng Tư,30,20130430,1,1,1,1
7,14778,2013,Qtr 2,Tháng Năm,30,20130530,1,1,1,1
7,12904,2013,Qtr 2,Tháng Sáu,30,20130630,1,1,1,1
7,12119,2013,Qtr 3,Tháng Bảy,31,20130731,1,1,1,1
7,13052,2013,Qtr 3,Tháng Tám,29,20130829,1,1,1,1
7,11995,2013,Qtr 3,Tháng Chín,29,20130929,1,1,1,1
7,14925,2013,Qtr 4,Tháng Mười,29,20131029,1,1,1,1
7,14710,2013,Qtr 4,Tháng Mười Một,29,20131129,1,1,1,1
8,7236.06,2010,Qtr 4,Tháng Mười Hai,29,20101229,1,1,1,1
8,3399,2011,Qtr 1,Tháng Giêng,29,20110129,1,1,1,1
8,3702,2011,Qtr 1,Tháng Ba,1,20110301,1,1,1,1
8,6064,2011,Qtr 1,Tháng Ba,31,20110331,1,1,1,1
8,5238,2011,Qtr 2,Tháng Năm,1,20110501,1,1,1,1
8,8559,2011,Qtr 2,Tháng Năm,31,20110531,1,1,1,1
8,5977,2011,Qtr 3,Tháng Bảy,1,20110701,1,1,1,1
8,7731,2011,Qtr 3,Tháng Tám,1,20110801,1,1,1,1
8,7821,2011,Qtr 3,Tháng Tám,29,20110829,1,1,1,1
8,7555,2011,Qtr 3,Tháng Chín,29,20110929,1,1,1,1
8,6523,2011,Qtr 4,Tháng Mười,29,20111029,1,1,1,1
8,7150,2011,Qtr 4,Tháng Mười Một,29,20111129,1,1,1,1
8,15301,2011,Qtr 4,Tháng Mười Hai,29,20111229,1,1,1,1
8,13903,2012,Qtr 1,Tháng Giêng,29,20120129,1,1,1,1
8,17466,2012,Qtr 1,Tháng Hai,29,20120229,1,1,1,1
8,16893,2012,Qtr 1,Tháng Ba,30,20120330,1,1,1,1
8,9313,2012,Qtr 2,Tháng Tư,30,20120430,1,1,1,1
8,13912,2012,Qtr 2,Tháng Năm,30,20120530,1,1,1,1
8,13481,2012,Qtr 2,Tháng Sáu,30,20120630,1,1,1,1
8,6732,2012,Qtr 3,Tháng Bảy,31,20120731,1,1,1,1
8,9757,2012,Qtr 3,Tháng Tám,28,20120828,1,1,1,1
8,10852,2012,Qtr 3,Tháng Chín,28,20120928,1,1,1,1
8,12413,2012,Qtr 4,Tháng Mười,28,20121028,1,1,1,1
8,142.25,2012,Qtr 4,Tháng Mười Một,28,20121128,1,1,1,1
8,12453,2012,Qtr 4,Tháng Mười Hai,28,20121228,1,1,1,1
8,12316,2013,Qtr 1,Tháng Giêng,28,20130128,1,1,1,1
8,13842,2013,Qtr 1,Tháng Hai,28,20130228,1,1,1,1
8,12631,2013,Qtr 1,Tháng Ba,30,20130330,1,1,1,1
8,11212,2013,Qtr 2,Tháng Tư,30,20130430,1,1,1,1
8,9742,2013,Qtr 2,Tháng Năm,30,20130530,1,1,1,1
8,9687,2013,Qtr 2,Tháng Sáu,30,20130630,1,1,1,1
8,13528,2013,Qtr 3,Tháng Bảy,31,20130731,1,1,1,1
8,13374,2013,Qtr 3,Tháng Tám,29,20130829,1,1,1,1
8,13032,2013,Qtr 3,Tháng Chín,29,20130929,1,1,1,1
8,15053,2013,Qtr 4,Tháng Mười,29,20131029,1,1,1,1
8,16622,2013,Qtr 4,Tháng Mười Một,29,20131129,1,1,1,1
10,308472,2010,Qtr 4,Tháng Mười Hai,29,20101229,1,1,1,1
10,444008,2011,Qtr 1,Tháng Giêng,29,20110129,1,1,1,1
